Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/04 1:32:35 PM GMT+3,Germany,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,2,2,No idea,4,No idea,2,2,2,3,2,Email
2023/09/04 1:35:20 PM GMT+3,China,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Invertebrates,4,4,1 - little development needed,5 - extensive development needed,4,4,5 - extensive development needed,3,3,5 - extensive development needed,Email
2023/09/04 1:41:32 PM GMT+3,Germany,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,3,4,5 - extensive development needed,4,4,4,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/04 1:41:53 PM GMT+3,Italy,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Sediment;Air;Water,Vertebrates;Invertebrates,2,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,friend
2023/09/04 1:43:14 PM GMT+3,Singapore,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Interpretation (e.g., modelling, assessment of ecological status);Qantification in aquatic environments",,,Marine ecosystems,Water;Biofilm,Prokaryotes,5 - extensive development needed,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 1:46:38 PM GMT+3,Czech Republic,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates,4,4,4,4,4,1 - little development needed,2,2,3,3,Email
2023/09/04 1:46:45 PM GMT+3,Switzerland,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation)",,,Terrestrial ecosystems,Soil;Air,Vertebrates;Invertebrates,4,4,4,5 - extensive development needed,3,4,3,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 1:56:24 PM GMT+3,Netherlands,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Invertebrates;Micro-eukaryotes;Prokaryotes,1 - little development needed,2,3,4,3,5 - extensive development needed,5 - extensive development needed,3,4,5 - extensive development needed,Email
2023/09/04 1:59:49 PM GMT+3,Spain,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Soil;Water,Vertebrates;Invertebrates;Plants/Macroalgae,2,4,2,5 - extensive development needed,4,4,4,4,4,4,Email
2023/09/04 2:00:55 PM GMT+3,Canada,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,4,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 2:10:27 PM GMT+3,India,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Micro-eukaryotes;Prokaryotes,1 - little development needed,5 - extensive development needed,1 - little development needed,5 - extensive development needed,1 - little development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 2:13:14 PM GMT+3,Denmark,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,2,3,3,4,No idea,4,3,4,4,No idea,Social media
2023/09/04 2:16:49 PM GMT+3,Lithuania,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water;Biofilm,Invertebrates;Micro-eukaryotes;Prokaryotes,2,3,3,5 - extensive development needed,2,1 - little development needed,3,3,2,2,Email
2023/09/04 2:26:16 PM GMT+3,Greenland,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates,4,3,4,4,5 - extensive development needed,5 - extensive development needed,4,4,3,3,Email
2023/09/04 2:32:01 PM GMT+3,France,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates,3,4,4,4,5 - extensive development needed,5 - extensive development needed,No idea,3,4,4,Email
2023/09/04 2:32:26 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates,2,2,1 - little development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,4,4,Email
2023/09/04 2:37:54 PM GMT+3,Sweden,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,No idea,No idea,No idea,No idea,3,5 - extensive development needed,3,4,3,4,Email
2023/09/04 2:41:28 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,5 - extensive development needed,3,3,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 2:42:07 PM GMT+3,Germany,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Invertebrates,4,5 - extensive development needed,2,5 - extensive development needed,2,5 - extensive development needed,4,3,3,4,Email
2023/09/04 2:43:51 PM GMT+3,Italy,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/04 2:44:34 PM GMT+3,Australia,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Air,Invertebrates;Micro-eukaryotes;Prokaryotes,2,1 - little development needed,1 - little development needed,No idea,No idea,No idea,5 - extensive development needed,4,3,No idea,Email
2023/09/04 2:44:53 PM GMT+3,France,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,2,No idea,No idea,5 - extensive development needed,No idea,No idea,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/04 2:46:03 PM GMT+3,Germany,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Air,Plants/Macroalgae,5 - extensive development needed,2,1 - little development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
